Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CYBN,Cybin Inc. Common Shares,$7.45,-0.25,-3.247%,148939730.00,Canada,,237021,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$2.88,-0.03,-1.031%,286493308.00,United States,2022,571421,Basic Materials,Metal Mining
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.97,-0.01,-0.505%,0.00,United States,1998,371520,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$110.97,-9.03,-7.525%,71626918.00,United States,1999,47,Consumer Discretionary,Food Distributors
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.90,0.005,0.073%,429806893.00,United States,1988,9002,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$11.13,-0.05,-0.447%,0.00,,2022,2428,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.33,0.06,4.724%,1191339654.00,Canada,,96444607,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.9776,0.0276,2.905%,8888846.00,United States,,2444,Consumer Discretionary,Containers/Packaging
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$9.25,3.56,62.566%,2307542.00,,,7678588,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.43,-0.01,-0.155%,0.00,United States,2003,209720,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.66,-0.13,-1.479%,0.00,United States,1986,34108,Finance,Finance/Investors Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.505,-0.045,-0.471%,0.00,United States,2002,131814,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$6.01,0.05,0.839%,156218381.00,United States,,28865,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$14.0101,-0.6899,-4.693%,180066001.00,Israel,,589,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$22.67,-0.26,-1.134%,193983653.00,United States,2011,36431,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$2.19,0.05,2.336%,238273183.00,Canada,,780226,Basic Materials,Metal Mining
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.12,0.03,0.33%,0.00,United States,2002,55463,Finance,Finance/Investors Services
EONR,EON Resources Inc. Class A Common Stock,$0.477,0.0145,3.135%,4672202.00,,2022,208023,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$5.11,-0.02,-0.39%,172208196.00,United States,2022,27155,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.26,0.10,2.404%,145921605.00,United States,,173617,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$7.28,0.32,4.598%,3320137752.00,Canada,,16594963,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$8.85,-0.02,-0.225%,0.00,United States,2003,74384,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$10.51,-0.08,-0.755%,0.00,,2004,16917,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$30.28,1.0464,3.579%,84685832.00,United States,1960,17009,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$35.91,0.05,0.139%,199924688.00,United States,,6903,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$15.92,-0.27,-1.668%,203069821.00,United States,1999,9035,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.78,-0.08,-0.903%,0.00,United States,2002,22778,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.58,0.01,0.104%,0.00,United States,2003,255788,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$37.19,-0.82,-2.157%,1063582492.00,United States,,25081,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$14.96,0.01,0.067%,0.00,United States,1986,97264,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.79,-0.01,-0.172%,0.00,United States,1992,50078,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$3.10,0.1246,4.188%,248401717.00,,2023,4938,Consumer Discretionary,Transportation Services
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.109,-0.001,-0.909%,3906971.00,,2022,1953428,Finance,Life Insurance
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.84,0.04,1.053%,48566523.00,Canada,2002,12469,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.51,0.00,0.00%,156385740.00,United States,,247331,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.15,-0.04,-0.646%,248493050.00,United States,2003,218555,Finance,Finance/Investors Services
