Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SOGP,Sound Group Inc. American Depositary Shares,$2.07,-0.05,-2.358%,3628909,China,2020,6461,Technology,Computer Software: Programming Data Processing
SOHU,Sohu.com Limited American Depositary Shares,$7.91,-0.24,-2.945%,30924692,China,,363309,Technology,EDP Services
STEC,Santech Holdings Limited American Depositary Shares,$1.208,0.018,1.513%,4125000,China,2021,6988,Finance,Investment Managers
STKH,Steakholder Foods Ltd. American Depositary Shares,$0.68,0.0159,2.394%,3484405,Israel,2021,52031,Consumer Staples,Packaged Foods
SVRE,SaverOne 2014 Ltd. American Depositary Shares,$2.0101,-0.2999,-12.983%,399216,Israel,2022,337935,Technology,EDP Services
SY,So-Young International Inc. American Depository Shares,$0.802,-0.033,-3.952%,80020200,China,2019,10222,Technology,EDP Services
SYT,SYLA Technologies Co. Ltd. American Depositary Shares,$2.21,0.01,0.455%,4622000,Japan,2023,8087,Finance,Real Estate
TC,Token Cat Limited American Depositary Shares,$0.5551,0.0102,1.872%,2482141,China,2018,47478,Consumer Discretionary,Business Services
TCOM,Trip.com Group Limited American Depositary Shares,$55.55,-0.92,-1.629%,350970460,China,2003,5100424,Consumer Discretionary,Business Services
TDTH,Trident Digital Tech Holdings Ltd American Depository Shares,$0.2295,-0.008,-3.368%,6062500,Singapore,2024,535930,Consumer Discretionary,Business Services
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,$6.65,-0.16,-2.349%,135715622,China,2019,3489133,Finance,Investment Bankers/Brokers/Service
TKLF,Tokyo Lifestyle Co. Ltd. American Depositary Shares,$3.13,-0.0011,-0.035%,2142867,Japan,2022,89846,Consumer Discretionary,Other Specialty Stores
TLX,Telix Pharmaceuticals Limited American Depositary Shares,$16.54,-0.28,-1.665%,687400,Australia,,32727,Health Care,Biotechnology: Pharmaceutical Preparations
TOUR,Tuniu Corporation American Depositary Shares,$0.87,-0.0198,-2.225%,53713445,China,2014,34499,Consumer Discretionary,Transportation Services
TRIB,Trinity Biotech plc American Depositary Shares,$0.54,-0.0499,-8.459%,18578449,Ireland,1992,39843,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
TRVG,trivago N.V. American Depositary Shares,$3.59,-0.07,-1.913%,17737536,Germany,2016,73314,Technology,EDP Services
TURB,Turbo Energy S.A. American Depositary Shares,$2.4784,0.00,0.00%,1000000,Spain,2023,65,Miscellaneous,Industrial Machinery/Components
UCL,uCloudlink Group Inc. American Depositary Shares,$0.9778,-0.0022,-0.224%,16233726,Hong Kong,2020,12169,Consumer Discretionary,Telecommunications Equipment
